start,State,mean,Min,Max
2023-06-24 22:00:00,,0.2186985188741667,0.118,0.294
2023-06-24 23:00:00,,0.1935091528288889,0.115,0.295
2023-06-25 00:00:00,,0.23353435613388893,0.112,0.3
2023-06-25 01:00:00,,0.18244086788472225,0.114,0.293
2023-06-25 02:00:00,,0.1539485948411111,0.077,0.275
2023-06-25 03:00:00,,0.20520276130416668,0.098,0.284
2023-06-25 04:00:00,,0.19901639432777776,0.109,0.282
2023-06-25 05:00:00,,0.18443175015694444,0.095,0.293
2023-06-25 06:00:00,,0.18855043607777777,0.117,0.303
2023-06-25 07:00:00,,0.2875416519652778,0.194,0.392
2023-06-25 08:00:00,,0.24576273476555555,0.146,0.314
2023-06-25 09:00:00,,0.24555501781166664,0.149,0.327
2023-06-25 10:00:00,,0.22519833986194446,0.154,0.339
2023-06-25 11:00:00,,0.22929705181222224,0.162,0.34
2023-06-25 12:00:00,,0.22937972234972218,0.016,1.207
2023-06-25 13:00:00,,0.2505688880527778,0.023,0.588
2023-06-25 14:00:00,,0.24094408338750004,0.059,0.428
2023-06-25 15:00:00,,0.20319912360111114,0.112,0.345
2023-06-25 16:00:00,,0.19039970879333334,0.049,0.299
2023-06-25 17:00:00,,0.26648080772944444,0.189,0.373
2023-06-25 18:00:00,,0.5406216371841667,0.179,3.812
2023-06-25 19:00:00,,0.9992999666094445,0.762,1.368
2023-06-25 20:00:00,,0.8586128204011113,0.244,1.082
2023-06-25 21:00:00,,0.2444043286469445,0.141,0.343
2023-06-25 22:00:00,,0.5763189653505556,0.118,0.96
2023-06-25 23:00:00,,0.5675594645975001,0.125,0.936
2023-06-26 00:00:00,,0.22375991048666663,0.115,0.299
2023-06-26 01:00:00,,0.18921788929833336,0.113,0.292
2023-06-26 02:00:00,,0.1461961934288889,0.078,0.255
2023-06-26 03:00:00,,0.14291808988888888,0.075,0.22
2023-06-26 04:00:00,,0.18537252981083333,0.075,0.251
2023-06-26 05:00:00,,0.21373801000694445,0.093,0.292
2023-06-26 06:00:00,,0.1937500652466667,0.121,0.323
